Inference for Stan model: anon_model_b3ecf90648be7fd4e7aef1dac29f3753.
4 chains, each with iter=1000; warmup=500; thin=1; 
post-warmup draws per chain=500, total post-warmup draws=2000.

                mean se_mean     sd   2.5%    25%    50%    75%  97.5%  n_eff   Rhat
var_time[0,5] 353.99    4.71 210.73  14.21 171.66 352.65 537.69 702.22 2000.0    1.0
var_time[1,5] 366.26     3.2 142.99  38.84 320.85 371.54 423.24 672.16 2000.0    1.0
var_time[0,6]  358.3     4.5 201.23  24.35 190.29 362.19 524.86 697.24 2000.0    1.0
var_time[1,6] 364.18    4.04 180.77  28.87 231.93 373.59 481.43 694.27 2000.0    1.0
var_time[0,7] 366.89    4.07 181.81  24.54 239.37 370.02  488.3 697.49 2000.0    1.0
var_time[1,7] 362.24    4.53 202.42  26.22 184.25 364.67 542.44 696.78 2000.0    1.0
var_time[0,8] 369.83     4.0 178.77  26.22 253.45  373.6 487.36 696.95 2000.0    1.0
var_time[1,8] 360.95     4.7 210.26  16.11 179.68 362.75 548.18 703.88 2000.0    1.0
mu_lon[0,0]   -87.09    0.01   0.58 -87.96 -87.58 -87.14 -86.58 -86.08 2000.0    1.0
mu_lon[1,0]   -87.04    0.01   0.58 -87.95 -87.55 -87.07 -86.55 -86.05 2000.0    1.0
mu_lon[0,1]   -87.34    0.22   0.49 -87.93 -87.63 -87.62  -87.1 -86.12    5.0   1.25
mu_lon[1,1]   -87.17    0.21   0.59 -87.96 -87.63 -87.41 -86.67 -86.05    8.0   1.13
mu_lon[0,2]   -87.22    0.22   0.58 -87.96  -87.7 -87.43 -86.73 -86.07    7.0   1.16
mu_lon[1,2]   -87.36    0.26   0.52 -87.89  -87.7 -87.69 -87.05 -86.12    4.0   1.35
mu_lon[0,3]   -87.03    0.01   0.57 -87.95 -87.54 -87.03 -86.53 -86.06 2000.0    1.0
mu_lon[1,3]   -87.17    0.21   0.58 -87.94 -87.63 -87.38 -86.65 -86.06    8.0   1.14
mu_lon[0,4]    -87.5     0.2    0.4 -87.84 -87.69 -87.63 -87.61 -86.21    4.0   1.38
mu_lon[1,4]    -87.2     0.2   0.56 -87.96 -87.63 -87.38 -86.74 -86.06    8.0   1.13
mu_lon[0,5]   -87.04    0.01   0.59 -87.95 -87.58 -87.06 -86.52 -86.04 2000.0    1.0
mu_lon[1,5]   -87.37    0.26   0.52 -87.89  -87.7 -87.69 -87.05 -86.14    4.0   1.33
mu_lon[0,6]   -87.03    0.01   0.58 -87.97 -87.53 -87.02 -86.53 -86.06 2000.0    1.0
mu_lon[1,6]   -87.17     0.2   0.57 -87.92 -87.63 -87.38 -86.67 -86.07    8.0   1.15
mu_lon[0,7]   -87.19    0.24   0.58 -87.93  -87.7 -87.39  -86.7 -86.09    6.0   1.18
mu_lon[1,7]   -87.03    0.01   0.59 -87.97 -87.56 -87.03 -86.51 -86.05 2000.0    1.0
mu_lon[0,8]   -87.21    0.22   0.59 -87.95  -87.7 -87.41 -86.67 -86.08    7.0   1.16
mu_lon[1,8]   -87.05    0.01   0.58 -87.95 -87.58 -87.07 -86.56 -86.07 2000.0    1.0
var_lon[0,0]    0.98    0.01   0.59   0.04   0.45   0.98    1.5   1.95 2000.0    1.0
var_lon[1,0]     1.0    0.01   0.57   0.05   0.51    1.0   1.49   1.95 2000.0    1.0
var_lon[0,1]    0.51    0.35    0.6   0.04   0.05   0.07   0.95   1.88    3.0   1.59
var_lon[1,1]    0.76    0.32   0.64   0.04   0.06   0.66   1.33   1.92    4.0   1.33
var_lon[0,2]    0.76    0.32   0.64   0.05   0.06   0.69   1.32   1.93    4.0   1.33
var_lon[1,2]    0.53    0.36   0.62   0.04   0.05   0.07   1.01   1.91    3.0   1.62
var_lon[0,3]    0.98    0.01   0.57   0.04   0.49   0.96   1.47   1.94 2000.0    1.0
var_lon[1,3]    0.77     0.3   0.68   0.04   0.06    0.6    1.4   1.96    5.0    1.3
var_lon[0,4]    0.29    0.29    0.5   0.04   0.05   0.06   0.07    1.8    3.0   1.79
var_lon[1,4]    0.73    0.29   0.66   0.04   0.06   0.59    1.3   1.94    5.0   1.28
var_lon[0,5]    0.98    0.01   0.56   0.06   0.51   0.96   1.45   1.94 2000.0    1.0
var_lon[1,5]    0.53    0.35   0.61   0.05   0.05   0.07   1.02   1.86    3.0   1.66
var_lon[0,6]     1.0    0.01   0.58   0.03    0.5   1.01   1.51   1.94 2000.0    1.0
var_lon[1,6]    0.75    0.32   0.65   0.04   0.06   0.64   1.29   1.92    4.0   1.31
